,Volume m3,Ground Surface m2,Amount Buildings,Surface Build %,Surface Total,Inset 1,Inset 2,Inset 3,Inset 4,Inset 5,Inset 6,Inset 7,Inset 8,Inset 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Height 7,Height 8,Height 9,Roof 1,Roof 2,Roof 3,Roof 4,Roof 5,Roof 6,Roof 7,Roof 8,Roof 9,SL %,SVF %
1634,3281.93,384.11,5,24.0,2148.45,0.64,0.5,0.84,0.0,0.77,0.0,0.45,0.0,0.0,3.15,5.81,11.49,0.0,10.27,0.0,7.58,0.0,0.0,0,0,0,0,0,0,0,0,0,58.83,67.7
1635,3034.03,573.75,7,35.9,2536.24,0.36,0.49,0.77,0.81,0.0,0.77,0.0,0.85,0.53,6.89,6.34,12.27,4.36,0.0,3.63,0.0,2.01,2.86,0,0,1,1,0,1,0,0,0,54.04,60.39
1636,4650.64,457.88,9,28.6,3221.61,0.54,0.52,0.81,0.42,0.46,0.38,0.78,0.3,0.34,8.08,5.89,13.33,4.74,11.27,7.57,12.59,6.23,6.97,0,0,1,1,1,0,0,0,0,45.08,52.39
1637,3096.83,355.73,4,22.2,1977.78,0.0,0.0,0.87,0.0,0.0,0.0,0.83,0.51,0.55,0.0,0.0,7.13,0.0,0.0,0.0,12.85,7.65,4.07,0,0,1,0,0,0,0,1,0,75.69,73.02
1638,2061.74,156.7,2,9.8,1250.08,0.0,0.0,0.56,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,13.56,0.0,12.94,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,77.23,80.7
1639,1296.25,224.65,3,14.0,1025.64,0.0,0.0,0.0,0.0,0.85,0.37,0.0,0.0,0.64,0.0,0.0,0.0,0.0,3.57,2.42,0.0,0.0,10.78,0,0,0,0,0,0,0,0,0,84.35,83.63
1640,691.69,55.87,1,3.5,494.45,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38,0.0,0.0,0,0,0,0,0,0,1,0,0,94.46,93.02
1641,4232.63,453.4,6,28.3,2886.07,0.54,0.63,0.0,0.75,0.0,0.85,0.0,0.49,0.58,2.2,11.21,0.0,10.19,0.0,7.64,0.0,13.7,12.32,0,1,0,0,0,1,0,0,0,53.8,57.6
1642,4369.53,568.79,6,35.5,2993.5,0.0,0.76,0.0,0.71,0.58,0.58,0.0,0.88,0.82,0.0,5.92,0.0,11.45,5.02,11.44,0.0,3.54,10.64,0,1,0,1,0,0,0,0,0,59.47,59.04
1643,4177.1,563.38,9,35.2,3230.38,0.55,0.5,0.52,0.77,0.45,0.77,0.52,0.38,0.73,8.39,6.1,11.96,5.06,7.28,8.67,5.67,8.49,7.03,0,0,0,0,1,0,1,0,0,44.05,48.66
1644,1130.34,146.28,3,9.1,987.2,0.62,0.0,0.0,0.45,0.0,0.0,0.48,0.0,0.0,3.49,0.0,0.0,11.53,0.0,0.0,11.35,0.0,0.0,0,0,0,1,0,0,0,0,0,81.12,84.15
1645,801.53,277.05,3,17.3,908.31,0.0,0.88,0.0,0.0,0.0,0.68,0.0,0.0,0.57,0.0,3.2,0.0,0.0,0.0,2.63,0.0,0.0,2.55,0,0,0,0,0,1,0,0,1,82.65,84.56
1646,117.33,54.53,1,3.4,172.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0,0,0,0,0,0,0,0,0,96.8,96.3
1647,4985.99,609.9,9,38.1,3603.63,0.34,0.86,0.65,0.31,0.65,0.71,0.74,0.31,0.7,7.88,3.58,5.95,6.99,10.7,10.82,10.93,6.86,9.63,0,1,0,1,1,0,1,0,0,44.16,47.77
1648,3967.21,559.91,8,35.0,3140.42,0.59,0.38,0.5,0.0,0.73,0.74,0.75,0.54,0.68,12.77,10.21,13.51,0.0,13.09,3.01,3.84,2.56,2.98,0,0,1,0,1,0,1,1,1,48.96,52.7
1649,3767.61,377.41,4,23.6,2211.05,0.0,0.71,0.88,0.0,0.85,0.0,0.0,0.0,0.35,0.0,13.75,12.18,0.0,6.37,0.0,0.0,0.0,2.18,0,0,1,0,0,0,0,0,1,66.34,74.32
1650,2265.98,220.96,3,13.8,1408.9,0.0,0.89,0.0,0.51,0.0,0.0,0.44,0.0,0.0,0.0,11.22,0.0,12.64,0.0,0.0,3.12,0.0,0.0,0,0,0,1,0,0,1,0,0,70.35,78.51
1651,4050.13,435.17,8,27.2,2995.92,0.0,0.76,0.46,0.83,0.61,0.39,0.36,0.46,0.31,0.0,3.63,9.49,11.73,13.82,10.62,4.7,11.97,6.33,0,1,1,1,0,0,0,0,1,50.96,55.81
1652,3953.16,377.9,6,23.6,2690.49,0.4,0.38,0.67,0.0,0.0,0.73,0.44,0.8,0.0,6.13,12.0,8.52,0.0,0.0,10.18,11.14,12.64,0.0,1,0,1,0,0,0,1,1,0,59.07,60.56
1653,4469.87,509.2,6,31.8,3019.36,0.51,0.8,0.63,0.0,0.63,0.0,0.76,0.0,0.78,10.98,5.49,7.67,0.0,9.22,0.0,7.2,0.0,13.22,1,0,1,0,1,0,1,0,0,51.11,55.86
1654,4716.73,543.81,8,34.0,3256.82,0.75,0.47,0.58,0.4,0.0,0.52,0.56,0.67,0.86,7.95,2.29,6.2,8.18,0.0,3.23,9.2,12.43,11.87,1,1,0,0,0,1,1,1,0,52.75,52.72
1655,2501.42,306.62,5,19.2,1839.96,0.6,0.31,0.0,0.0,0.45,0.0,0.66,0.0,0.79,2.45,9.4,0.0,0.0,7.54,0.0,11.28,0.0,9.24,0,1,0,0,0,0,1,0,0,71.34,70.56
1656,5030.25,614.75,9,38.4,3539.65,0.32,0.67,0.68,0.81,0.58,0.53,0.76,0.37,0.66,5.69,9.88,8.84,9.88,7.45,6.14,6.86,2.03,9.33,0,1,1,0,1,0,0,1,0,41.71,46.91
1657,395.97,152.34,2,9.5,503.75,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,2.48,0.0,0.0,0.0,0.0,0.0,2.71,0,0,0,0,0,0,0,0,1,92.84,91.78
1658,795.01,103.68,2,6.5,651.41,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55,0,0,0,0,0,0,0,0,0,87.32,89.33
1659,1772.96,319.6,6,20.0,1735.62,0.55,0.79,0.0,0.33,0.62,0.5,0.0,0.36,0.0,2.95,2.87,0.0,12.16,7.48,8.64,0.0,7.32,0.0,1,1,0,0,1,0,0,1,0,63.69,69.65
